"File","Path","Methods"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\admin\AdminEmailConfigServlet.java","/admin/email/config","get,post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\admin\AdminEmailServlet.java","/admin/email/send","post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\admin\salesforce\SalesforceOAuthCallbackServlet.java","/admin/salesforce/oauth/callback","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\admin\salesforce\SalesforceOAuthStartServlet.java","/admin/salesforce/oauth/start","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\admin\SaveConfigServlet.java","/admin/save-config","post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\profile\SyncCustomerProfileSalesforceServlet.java","/admin/sync-customer-profile","post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\admin\AdminTermServlet.java","/admin/terms","get,post,put,delete"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\admin\TermsCsvServlet.java","/admin/terms/export","get,post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\admin\TermsCsvServlet.java","/admin/terms/import","get,post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\admin\TestConnectionServlet.java","/admin/test-connection","post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\admin\TestSalesforceConnectionServlet.java","/admin/test-salesforce-connection","post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\admin\AdminUserServlet.java","/admin/users","get,post,delete"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\admin\WidgetSyncServlet.java","/admin/widgets/sync","get,post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\admin\WidgetSyncServlet.java","/admin/widgets/sync/timer","get,post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\admin\WidgetTableServlet.java","/admin/widgets/table-check","get,post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\admin\WorkspaceConfigServlet.java","/admin/workspace","post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\profile\CustomerProfileServlet.java","/customer-profile","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\DashboardServlet.java","/dashboard","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\summary\DashboardDailySummaryServlet.java","/dashboard/daily-summary.json","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\drilldown\WidgetReviewJobStatusServlet.java","/dashboard/drilldown/widget-review/job-status","get,delete"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\drilldown\WidgetReviewManualMessageServlet.java","/dashboard/drilldown/widget-review/manual-message","post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\inactiveusers\InactiveUsersPageServlet.java","/dashboard/inactive-users","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\inactiveusers\InactiveUsersListPageServlet.java","/dashboard/inactive-users/list","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\drilldown\DashboardLatestChatsServlet.java","/dashboard/latest-chats","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\newuser\DashboardNewUsersServlet.java","/dashboard/new-users","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\newuser\DashboardNewUsersServlet.java","/dashboard/new-users/data","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\newuser\DashboardNewUsersServlet.java","/dashboard/new-users/day","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\newuser\DashboardNewUsersServlet.java","/dashboard/new-users/day-data","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\newuser\DashboardNewUsersDrilldownServlet.java","/dashboard/new-users/drilldown","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\sessions\DashboardSessionNamesPageServlet.java","/dashboard/session-names","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\sessions\DashboardSessionNamesJsonServlet.java","/dashboard/session-names.json","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\sessions\DashboardSessionNamesLabelServlet.java","/dashboard/session-names/label","post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\sessions\AllSessionsPageServlet.java","/dashboard/sessions","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\sessions\DashboardSessionsJsonServlet.java","/dashboard/sessions.json","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\sessions\AllSessionsServlet.java","/dashboard/sessions/chats","get,post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\sessions\AllSessionsServlet.java","/dashboard/sessions/data","get,post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\drilldown\DashboardDateSelectionServlet.java","/dashboard/sessions/drilldown/date-review","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\drilldown\DashboardRelativeDateSelectionServlet.java","/dashboard/sessions/drilldown/date-review-relative","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\drilldown\DashboardSessionSelectionServlet.java","/dashboard/sessions/drilldown/session-review","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\sessions\AllSessionsServlet.java","/dashboard/sessions/select","get,post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\summary\DashboardSummaryMarkdownServlet.java","/dashboard/summary-markdown","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\drilldown\DashboardTermSelectionServlet.java","/dashboard/term-review","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\drilldown\DashboardTermSelectionServlet.java","/dashboard/term-review/select","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\topics\DashboardTopicsServlet.java","/dashboard/topics","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\topics\DashboardTopicsDataServlet.java","/dashboard/topics/data","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\topics\DashboardTopicsSelectServlet.java","/dashboard/topics/select","post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\trends\DashboardTrendsServlet.java","/dashboard/trends","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\trends\DashboardTrendsSelectServlet.java","/dashboard/trends/select","post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\widgets\WidgetApiServlet.java","/dashboard/widgets","get,post,delete"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\drilldown\WidgetExportServlet.java","/dashboard/widgets/drilldown/export","post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\drilldown\WidgetReviewServlet.java","/dashboard/widgets/drilldown/review","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\drilldown\ReviewTranslateServlet.java","/dashboard/widgets/drilldown/review/translate","get,post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\drilldown\WidgetTableDataServlet.java","/dashboard/widgets/drilldown/view/data","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\drilldown\WidgetReviewDataServlet.java","/dashboard/widgets/drilldown/view/review-data","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\drilldown\WidgetTableSelectionServlet.java","/dashboard/widgets/drilldown/view/select-ids","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\widgets\WidgetReviewStartServlet.java","/dashboard/widgets/review/start","post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\widgets\WidgetTableViewServlet.java","/dashboard/widgets/view","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\dashboard\widgets\WidgetTableSelectIdsServlet.java","/dashboard/widgets/view/select-ids","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\login\LoginServlet.java","/login","get,post"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\login\LogoutServlet.java","/logout","get"
"D:\Code_Workspace\project\SIM\sim-web\src\main\java\com\sim\chatserver\web\profile\ProfileServlet.java","/profile","get,post"
